group,experiment,number_of_images,mean_dice,mean_iou
p_003,Baseline,505,0.38477817720054686,0.27454976799063924
p001,Baseline,100,0.30370979446917773,0.19725711874547414
p006,Baseline,361,0.5972076856280958,0.46123523237583564
validation Patient 4,Baseline,99,0.5312911859064391,0.38125750475158593
p_003,Version 2,505,0.5268216945701233,0.37955906717775223
p001,Version 2,100,0.3892168479871179,0.27781757806202223
p006,Version 2,361,0.6062656977437075,0.47286195800010206
validation Patient 4,Version 2,99,0.5085371246542594,0.3588462049009824
p_003,Version 3,505,0.3519960595395112,0.24310964378297772
p001,Version 3,100,0.16568413004599278,0.0989889866131125
p006,Version 3,361,0.5785418232094104,0.4478148446242432
validation Patient 4,Version 3,99,0.5599377668566174,0.40706262978339436
